"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 24 03:08:26 UTC 2023","Sun Dec 24 03:08:41 UTC 2023","15111","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun Dec 24 03:51:00 UTC 2023","Sun Dec 24 03:51:08 UTC 2023","7700","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Dec 24 02:53:00 UTC 2023","Sun Dec 24 02:53:01 UTC 2023","364","","6. Company Account","","","","9. Review Final Review",""
"passed","Sun Dec 24 03:30:12 UTC 2023","Sun Dec 24 03:30:15 UTC 2023","2792","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Dec 24 03:08:41 UTC 2023","Sun Dec 24 03:08:42 UTC 2023","938","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Dec 24 03:06:36 UTC 2023","Sun Dec 24 03:06:58 UTC 2023","21074","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sun Dec 24 03:35:57 UTC 2023","Sun Dec 24 03:36:09 UTC 2023","12369","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Dec 24 02:29:09 UTC 2023","Sun Dec 24 02:29:19 UTC 2023","9786","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Sun Dec 24 03:30:15 UTC 2023","Sun Dec 24 03:30:38 UTC 2023","23012","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sun Dec 24 02:49:20 UTC 2023","Sun Dec 24 02:49:25 UTC 2023","4197","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Dec 24 03:49:34 UTC 2023","Sun Dec 24 03:49:35 UTC 2023","893","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Dec 24 02:35:17 UTC 2023","Sun Dec 24 02:35:23 UTC 2023","5739","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Dec 24 03:51:08 UTC 2023","Sun Dec 24 03:51:28 UTC 2023","19898","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Dec 24 02:28:43 UTC 2023","Sun Dec 24 02:28:54 UTC 2023","10912","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sun Dec 24 02:42:59 UTC 2023","Sun Dec 24 02:43:07 UTC 2023","8201","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Dec 24 02:50:13 UTC 2023","Sun Dec 24 02:50:16 UTC 2023","2581","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Dec 24 02:49:53 UTC 2023","Sun Dec 24 02:50:13 UTC 2023","20569","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Dec 24 02:34:24 UTC 2023","Sun Dec 24 02:34:42 UTC 2023","18183","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
